name,difficulty,likes,disslikes,isSolved
prefix-and-suffix-search,Hard,2073,462,0
min-cost-climbing-stairs,Easy,8444,1328,0
shortest-completing-word,Easy,402,943,0
contain-virus,Hard,305,420,0
number-of-corner-rectangles,Medium,597,90,0
ip-to-cidr,Medium,47,170,0
open-the-lock,Medium,3367,123,0
cracking-the-safe,Hard,353,65,0
reach-a-number,Medium,1426,715,0
pour-water,Medium,283,680,0
pyramid-transition-matrix,Medium,480,451,0
set-intersection-size-at-least-two,Hard,582,67,0
bold-words-in-string,Medium,251,121,0
employee-free-time,Hard,1659,111,0
find-anagram-mappings,Easy,511,203,0
special-binary-string,Hard,606,185,0
partition-labels,Medium,8900,337,0
largest-plus-sign,Medium,1258,206,0
couples-holding-hands,Hard,1974,97,0
reorganize-string,Medium,5676,195,0
max-chunks-to-make-sorted-ii,Hard,1522,44,0
max-chunks-to-make-sorted,Medium,2336,206,0
basic-calculator-iv,Hard,135,1309,0
basic-calculator-iii,Hard,985,263,0
sliding-puzzle,Hard,1752,45,0
minimize-max-distance-to-gas-station,Hard,614,88,0
global-and-local-inversions,Medium,1478,344,0
split-bst,Medium,942,96,0
swap-adjacent-in-lr-string,Medium,1035,846,0
swim-in-rising-water,Hard,2709,178,0
k-th-symbol-in-grammar,Medium,2270,277,0
reaching-points,Hard,1172,189,0
rabbits-in-forest,Medium,937,528,0
transform-to-chessboard,Hard,316,289,0
letter-case-permutation,Medium,3969,150,0
is-graph-bipartite,Medium,5859,294,0
k-th-smallest-prime-fraction,Medium,966,44,0
cheapest-flights-within-k-stops,Medium,6282,287,0
rotated-digits,Medium,633,1809,0
escape-the-ghosts,Medium,184,20,0
domino-and-tromino-tiling,Medium,1804,634,0
custom-sort-string,Medium,2344,307,0
number-of-matching-subsequences,Medium,4847,205,0
preimage-size-of-factorial-zeroes-function,Hard,351,81,0
valid-tic-tac-toe-state,Medium,474,1068,0
number-of-subarrays-with-bounded-maximum,Medium,1916,105,0
all-paths-from-source-to-target,Medium,5321,126,0
smallest-rotation-with-highest-score,Hard,447,34,0
champagne-tower,Medium,2518,137,0
similar-rgb-color,Easy,100,650,0
minimum-swaps-to-make-sequences-increasing,Hard,2361,130,0
find-eventual-safe-states,Medium,3117,350,0
bricks-falling-when-hit,Hard,941,177,0
split-array-with-same-average,Hard,1038,124,0
max-increase-to-keep-city-skyline,Medium,2084,463,0
soup-servings,Medium,303,829,0
expressive-words,Medium,769,1766,0
chalkboard-xor-game,Hard,164,253,0
subdomain-visit-count,Medium,1322,1230,0
largest-triangle-area,Easy,441,1469,0
largest-sum-of-averages,Medium,1761,90,0
binary-tree-pruning,Medium,4052,106,0
bus-routes,Hard,2718,72,0
ambiguous-coordinates,Medium,283,620,0
linked-list-components,Medium,831,1947,0
